"id", "name"
"00", "Procedencia desconodida"
"01", "EXTERIOR"
"05", "ANTIOQUIA"
"08", "ATLANTICO"
"09", "BARRANQUILLA"
"13", "BOLIVAR"
"14", "CARTAGENA"
"15", "BOYACA"
"17", "CALDAS"
"18", "CAQUETA"
"19", "CAUCA"
"20", "CESAR"
"23", "CORDOBA"
"25", "CUNDINAMARCA"
"27", "CHOCO"
"41", "HUILA"
"44", "GUAJIRA"
"47", "MAGDALENA"
"48", "STA MARTA D.E."
"50", "META"
"52", "NARIï¿½O"
"54", "NORTE SANTANDER"
"63", "QUINDIO"
"66", "RISARALDA"
"68", "SANTANDER"
"70", "SUCRE"
"73", "TOLIMA"
"76", "VALLE"
"76109", "BUENAVENTURA"
"81", "ARAUCA"
"85", "CASANARE"
"86", "PUTUMAYO"
"91", "AMAZONAS"
"94", "GUAINIA"
"95", "GUAVIARE"
"97", "VAUPES"
"99", "VICHADA"
"11", "BOGOTA"
"88", "SAN ANDRES"
