NOM_MUNICI;DEPARTAMEN;Codigo_DAN
MOSQUERA_CUN;CUNDINAMARCA;25473
MOSQUERA_NAR;NARINO;52473
MOTAVITA;BOYACA;15476
MURILLO;TOLIMA;73461
MURINDO;ANTIOQUIA;5475
MUTATA;ANTIOQUIA;5480
MUTISCUA;NORTE DE SANTANDER;54480
MUZO;BOYACA;15480
NARINO_ANT;ANTIOQUIA;5483
NARINO_CUN;CUNDINAMARCA;25483
NARINO_NAR;NARINO;52480
NATAGA;HUILA;41483
NATAGAIMA;TOLIMA;73483
NECHI;ANTIOQUIA;5495
NECOCLI;ANTIOQUIA;5490
NEIRA;CALDAS;17486
NEIVA;HUILA;41001
NEMOCON;CUNDINAMARCA;25486
NILO;CUNDINAMARCA;25488
NIMAIMA;CUNDINAMARCA;25489
NOBSA;BOYACA;15491
NOCAIMA;CUNDINAMARCA;25491
NORCASIA;CALDAS;17495
NOROSI;BOLIVAR;13490
NOVITA;CHOCO;27491
NUEVA GRANADA (Granada);MAGDALENA;47460
NUEVO COLON;BOYACA;15494
NUNCHIA;CASANARE;85225
NUQUI;CHOCO;27495
OBANDO;VALLE DEL CAUCA;76497
OCAMONTE;SANTANDER;68498
OCANA;NORTE DE SANTANDER;54498
OIBA;SANTANDER;68500
OICATA;BOYACA;15500
OLAYA;ANTIOQUIA;5501
OLAYA HERRERA (Bocas de Satinga);NARINO;52490
ONZAGA;SANTANDER;68502
OPORAPA;HUILA;41503
ORITO;PUTUMAYO;86320
OROCUE;CASANARE;85230
ORTEGA;TOLIMA;73504
OSPINA;NARINO;52506
OTANCHE;BOYACA;15507
OVEJAS;SUCRE;70508
PACHAVITA;BOYACA;15511
PACHO;CUNDINAMARCA;25513
PACOA (Cor. Departamental);VAUPES;97511
PACORA;CALDAS;17513
PADILLA;CAUCA;19513
PAEZ;BOYACA;15514
PAEZ (Belalcazar);CAUCA;19517
PAICOL;HUILA;41518
PAILITAS;CESAR;20517
PAIME;CUNDINAMARCA;25518
PAIPA;BOYACA;15516
PAJARITO;BOYACA;15518
PALERMO;HUILA;41524
PALESTINA_CAL;CALDAS;17524
PALESTINA_HUI;HUILA;41530
PALMAR;SANTANDER;68522
PALMAR DE VARELA;ATLANTICO;8520
PALMAS DEL SOCORRO;SANTANDER;68524
PALMIRA;VALLE DEL CAUCA;76520
PALMITO;SUCRE;70523
PALOCABILDO;TOLIMA;73520
PAMPLONA;NORTE DE SANTANDER;54518
PAMPLONITA;NORTE DE SANTANDER;54520
PANA PANA (Campo Alegre) (Cor. Departamental);GUAINIA;94887
PANDI;CUNDINAMARCA;25524
PANQUEBA;BOYACA;15522
PAPUNAUA (Cor. Departamental);VAUPES;97777
PARAMO;SANTANDER;68533
PARATEBUENO;CUNDINAMARCA;25530
PASCA;CUNDINAMARCA;25535
PASTO;NARINO;52001
PATIA  (El Bordo);CAUCA;19532
PAUNA;BOYACA;15531
PAYA;BOYACA;15533
PAZ DE ARIPORO;CASANARE;85250
PAZ DE RIO;BOYACA;15537
PEDRAZA;MAGDALENA;47541
PELAYA;CESAR;20550
PENOL;ANTIOQUIA;5541
PENSILVANIA;CALDAS;17541
PEQUE;ANTIOQUIA;5543
PEREIRA;RISARALDA;66001
PESCA;BOYACA;15542
PIAMONTE;CAUCA;19533
PIEDECUESTA;SANTANDER;68547
PIEDRAS;TOLIMA;73547
PIENDAMO;CAUCA;19548
PIJAO;QUINDIO;63548
PIJINO  DEL CARMEN;MAGDALENA;47545
PINCHOTE;SANTANDER;68549
PINILLOS;BOLIVAR;13549
PIOJO;ATLANTICO;8549
PISVA;BOYACA;15550
PITAL;HUILA;41548
PITALITO;HUILA;41551
PIVIJAY;MAGDALENA;47551
PLANADAS;TOLIMA;73555
PLANETA RICA;CORDOBA;23555
PLATO;MAGDALENA;47555
POLICARPA;NARINO;52540
POLONUEVO;ATLANTICO;8558
PONEDERA;ATLANTICO;8560
POPAYAN;CAUCA;19001
PORE;CASANARE;85263
POTOSI;NARINO;52560
PRADERA;VALLE DEL CAUCA;76563
PRADO;TOLIMA;73563
PROVIDENCIA;NARINO;52565
PROVIDENCIA Y SANTA CATALINA (Santa Isabel);ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;88564
PUEBLO BELLO;CESAR;20570
PUEBLO NUEVO;CORDOBA;23570
PUEBLO RICO;RISARALDA;66572
PUEBLO VIEJO;MAGDALENA;47570
PUEBLORRICO;ANTIOQUIA;5576
PUENTE NACIONAL;SANTANDER;68572
PUERRES;NARINO;52573
PUERTO ALEGRIA (Cor. Departamental);AMAZONAS;91530
PUERTO ARICA (Cor. Departamental);AMAZONAS;91536
PUERTO ASIS;PUTUMAYO;86568
PUERTO BERRIO;ANTIOQUIA;5579
PUERTO BOYACA;BOYACA;15572
PUERTO CAICEDO;PUTUMAYO;86569
PUERTO CARRENO;VICHADA;99001
PUERTO COLOMBIA;ATLANTICO;8573
PUERTO COLOMBIA (Cor. Departamental);GUAINIA;94884
PUERTO CONCORDIA;META;50450
PUERTO ESCONDIDO;CORDOBA;23574
PUERTO GAITAN;META;50568
PUERTO GUZMAN;PUTUMAYO;86571
PUERTO LEGUIZAMO;PUTUMAYO;86573
PUERTO LIBERTADOR;CORDOBA;23580
PUERTO LLERAS;META;50577
PUERTO LOPEZ;META;50573
PUERTO NARE;ANTIOQUIA;5585
PUERTO NARINO;AMAZONAS;91540
PUERTO PARRA;SANTANDER;68573
PUERTO RICO_CAQ;CAQUETA;18592
PUERTO RICO_MET;META;50590
PUERTO RONDON;ARAUCA;81591
PUERTO SALGAR;CUNDINAMARCA;25572
PUERTO SANTANDER;NORTE DE SANTANDER;54553
PUERTO TEJADA;CAUCA;19573
PUERTO TRIUNFO;ANTIOQUIA;5591
PUERTO WILCHES;SANTANDER;68575
PULI;CUNDINAMARCA;25580
PUPIALES;NARINO;52585
PURACE (Coconuco);CAUCA;19585
PURIFICACION;TOLIMA;73585
PURISIMA;CORDOBA;23586
QUEBRADANEGRA;CUNDINAMARCA;25592
QUETAME;CUNDINAMARCA;25594
QUIBDO;CHOCO;27001
QUIMBAYA;QUINDIO;63594
QUINCHIA;RISARALDA;66594
QUIPAMA;BOYACA;15580
QUIPILE;CUNDINAMARCA;25596
RAGONVALIA;NORTE DE SANTANDER;54599
RAMIRIQUI;BOYACA;15599
RAQUIRA;BOYACA;15600
RECETOR;CASANARE;85279
REGIDOR;BOLIVAR;13580
REMEDIOS;ANTIOQUIA;5604
REMOLINO;MAGDALENA;47605
REPELON;ATLANTICO;8606
RESTREPO_MET;META;50606
RESTREPO_VAL;VALLE DEL CAUCA;76606
RETIRO;ANTIOQUIA;5607
RICAURTE_CUN;CUNDINAMARCA;25612
RICAURTE_NAR;NARINO;52612
RIO DE ORO;CESAR;20614
RIO IRO (Santa Rita);CHOCO;27580
RIO QUITO (Paimado);CHOCO;27600
RIOBLANCO;TOLIMA;73616
RIOFRIO;VALLE DEL CAUCA;76616
RIOHACHA;LA GUAJIRA;44001
RIONEGRO_ANT;ANTIOQUIA;5615
RIONEGRO_SAN;SANTANDER;68615
RIOSUCIO_CAL;CALDAS;17614
RIOSUCIO_CHO;CHOCO;27615
RIOVIEJO;BOLIVAR;13600
RISARALDA;CALDAS;17616
RIVERA;HUILA;41615
ROBERTO PAYAN (San Jose);NARINO;52621
ROLDANILLO;VALLE DEL CAUCA;76622
RONCESVALLES;TOLIMA;73622
RONDON;BOYACA;15621
ROSAS;CAUCA;19622
ROVIRA;TOLIMA;73624
SABANA DE TORRES;SANTANDER;68655
SABANAGRANDE;ATLANTICO;8634
SABANALARGA_ANT;ANTIOQUIA;5628
SABANALARGA_ATL;ATLANTICO;8638
SABANALARGA_CAS;CASANARE;85300
SABANAS DE SAN ANGEL (San Angel);MAGDALENA;47660
SABANETA;ANTIOQUIA;5631
SABOYA;BOYACA;15632
SACAMA;CASANARE;85315
SACHICA;BOYACA;15638
SAHAGUN;CORDOBA;23660
SALADOBLANCO;HUILA;41660
SALAMINA_CAL;CALDAS;17653
SALAMINA_MAG;MAGDALENA;47675
SALAZAR;NORTE DE SANTANDER;54660
SALDANA;TOLIMA;73671
SALENTO;QUINDIO;63690
SALGAR;ANTIOQUIA;5642
SAMACA;BOYACA;15646
SAMANA;CALDAS;17662
SAMANIEGO;NARINO;52678
SAMPUES;SUCRE;70670
SAN AGUSTIN;HUILA;41668
SAN ALBERTO;CESAR;20710
SAN ANDRES DE SOTAVENTO;CORDOBA;23670
SAN ANDRES_ANT;ANTIOQUIA;5647
SAN ANDRES_ARC;ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;88001
SAN ANDRES_SAN;SANTANDER;68669
SAN ANTERO;CORDOBA;23672
SAN ANTONIO;TOLIMA;73675
SAN ANTONIO DEL TEQUENDAMA;CUNDINAMARCA;25645
SAN BENITO;SANTANDER;68673
SAN BENITO ABAD;SUCRE;70678
SAN BERNARDO DEL VIENTO;CORDOBA;23675
SAN BERNARDO_CUN;CUNDINAMARCA;25649
SAN BERNARDO_NAR;NARINO;52685
SAN CALIXTO;NORTE DE SANTANDER;54670
SAN CARLOS DE GUAROA;META;50680
SAN CARLOS_ANT;ANTIOQUIA;5649
SAN CARLOS_COR;CORDOBA;23678
SAN CAYETANO_CUN;CUNDINAMARCA;25653
SAN CAYETANO_NOR;NORTE DE SANTANDER;54673
SAN CRISTOBAL;BOLIVAR;13620
SAN DIEGO;CESAR;20750
SAN EDUARDO;BOYACA;15660
SAN ESTANISLAO;BOLIVAR;13647
SAN FELIPE (Cor. Departamental);GUAINIA;94883
SAN FERNANDO;BOLIVAR;13650
SAN FRANCISCO_ANT;ANTIOQUIA;5652
SAN FRANCISCO_CUN;CUNDINAMARCA;25658
SAN FRANCISCO_PUT;PUTUMAYO;86755
SAN GIL;SANTANDER;68679
SAN JACINTO;BOLIVAR;13654
SAN JACINTO DEL CAUCA;BOLIVAR;13655
SAN JERONIMO;ANTIOQUIA;5656
SAN JOAQUIN;SANTANDER;68682
SAN JOSE;CALDAS;17665
SAN JOSE DE LA MONTANA;ANTIOQUIA;5658
SAN JOSE DE MIRANDA;SANTANDER;68684
SAN JOSE DE PARE;BOYACA;15664
SAN JOSE DE URE;CORDOBA;23682
SAN JOSE DEL FRAGUA;CAQUETA;18610
SAN JOSE DEL GUAVIARE;GUAVIARE;95001
SAN JOSE DEL PALMAR;CHOCO;27660
SAN JUAN DE ARAMA;META;50683
SAN JUAN DE BETULIA;SUCRE;70702
SAN JUAN DE RIOSECO;CUNDINAMARCA;25662
SAN JUAN DE URABA;ANTIOQUIA;5659
SAN JUAN DEL CESAR;LA GUAJIRA;44650
SAN JUAN NEPOMUCENO;BOLIVAR;13657
SAN JUANITO;META;50686
SAN LORENZO;NARINO;52687
SAN LUIS DE GACENO;BOYACA;15667
SAN LUIS DE PALENQUE;CASANARE;85325
SAN LUIS_ANT;ANTIOQUIA;5660
SAN LUIS_TOL;TOLIMA;73678
SAN MARCOS;SUCRE;70708
SAN MARTIN DE LOBA;BOLIVAR;13667
SAN MARTIN_CES;CESAR;20770
SAN MARTIN_MET;META;50689
SAN MATEO;BOYACA;15673
SAN MIGUEL;SANTANDER;68686
SAN MIGUEL (La Dorada);PUTUMAYO;86757
SAN MIGUEL DE SEMA;BOYACA;15676
SAN ONOFRE;SUCRE;70713
SAN PABLO DE BORBUR;BOYACA;15681
SAN PABLO_BOL;BOLIVAR;13670
SAN PABLO_NAR;NARINO;52693
SAN PEDRO DE CARTAGO (Cartago);NARINO;52694
SAN PEDRO DE URABA;ANTIOQUIA;5665
SAN PEDRO_ANT;ANTIOQUIA;5664
SAN PEDRO_SUC;SUCRE;70717
SAN PEDRO_VAL;VALLE DEL CAUCA;76670
SAN PELAYO;CORDOBA;23686
SAN RAFAEL;ANTIOQUIA;5667
SAN ROQUE;ANTIOQUIA;5670
SAN SEBASTIAN;CAUCA;19693
SAN SEBASTIAN DE BUENAVISTA;MAGDALENA;47692
SAN VICENTE;ANTIOQUIA;5674
SAN VICENTE DE CHUCURI;SANTANDER;68689
SAN VICENTE DEL CAGUAN;CAQUETA;18753
SAN ZENON;MAGDALENA;47703
SANDONA;NARINO;52683
SANTA ANA;MAGDALENA;47707
SANTA BARBARA (Iscuande);NARINO;52696
SANTA BARBARA DE PINTO;MAGDALENA;47720
SANTA BARBARA_ANT;ANTIOQUIA;5679
SANTA BARBARA_SAN;SANTANDER;68705
SANTA CATALINA_BOL;BOLIVAR;13673
SANTA CRUZ (Guachaves);NARINO;52699
SANTA FE DE ANTIOQUIA;ANTIOQUIA;5042
SANTA HELENA DEL OPON;SANTANDER;68720
SANTA ISABEL;TOLIMA;73686
SANTA LUCIA;ATLANTICO;8675
SANTA MARIA_BOY;BOYACA;15690
SANTA MARIA_HUI;HUILA;41676
SANTA MARTA (Distrito Turistico Cultural e Historico);MAGDALENA;47001
SANTA ROSA DE CABAL;BOLIVAR;13683
SANTA ROSA DE OSOS;CAUCA;19701
SANTA ROSA DE VITERBO;RISARALDA;66682
SANTA ROSA DEL SUR;ANTIOQUIA;5686
SANTA ROSA_BOL;BOYACA;15693
SANTA ROSA_CAU;BOLIVAR;13688
SANTA ROSALIA;VICHADA;99624
SANTA SOFIA;BOYACA;15696
SANTANA;BOYACA;15686
SANTANDER (Araracuara) (Cor. Departamental);AMAZONAS;91669
SANTANDER DE QUILICHAO;CAUCA;19698
SANTIAGO_NOR;NORTE DE SANTANDER;54680
SANTIAGO_PUT;PUTUMAYO;86760
SANTO DOMINGO;ANTIOQUIA;5690
SANTO TOMAS;ATLANTICO;8685
SANTUARIO_ANT;ANTIOQUIA;5697
SANTUARIO_RIS;RISARALDA;66687
SAPUYES;NARINO;52720
SARAVENA;ARAUCA;81736
SARDINATA;NORTE DE SANTANDER;54720
SASAIMA;CUNDINAMARCA;25718
SATIVANORTE;BOYACA;15720
SATIVASUR;BOYACA;15723
SEGOVIA;ANTIOQUIA;5736
SESQUILE;CUNDINAMARCA;25736
SEVILLA;VALLE DEL CAUCA;76736
SIACHOQUE;BOYACA;15740
SIBATE;CUNDINAMARCA;25740
SIBUNDOY;PUTUMAYO;86749
SILOS;NORTE DE SANTANDER;54743
SILVANIA;CUNDINAMARCA;25743
SILVIA;CAUCA;19743
SIMACOTA;SANTANDER;68745
SIMIJACA;CUNDINAMARCA;25745
SIMITI;BOLIVAR;13744
SINCE;SUCRE;70742
SINCELEJO;SUCRE;70001
SIPI;CHOCO;27745
SITIONUEVO;MAGDALENA;47745
SOACHA;CUNDINAMARCA;25754
SOATA;BOYACA;15753
SOCHA;BOYACA;15757
SOCORRO;SANTANDER;68755
SOCOTA;BOYACA;15755
SOGAMOSO;BOYACA;15759
SOLANO;CAQUETA;18756
SOLEDAD;ATLANTICO;8758
SOLITA;CAQUETA;18785
SOMONDOCO;BOYACA;15761
SONSON;ANTIOQUIA;5756
SOPETRAN;ANTIOQUIA;5761
SOPLAVIENTO;BOLIVAR;13760
SOPO;CUNDINAMARCA;25758
SORA;BOYACA;15762
SORACA;BOYACA;15764
SOTAQUIRA;BOYACA;15763
SOTARA (Paispamba);CAUCA;19760
SUAITA;SANTANDER;68770
SUAN;ATLANTICO;8770
SUAREZ_CAU;CAUCA;19780
SUAREZ_TOL;TOLIMA;73770
SUAZA;HUILA;41770
SUBACHOQUE;CUNDINAMARCA;25769
SUCRE_CAU;CAUCA;19785
SUCRE_SAN;SANTANDER;68773
SUCRE_SUC;SUCRE;70771
SUESCA;CUNDINAMARCA;25772
SUPATA;CUNDINAMARCA;25777
SUPIA;CALDAS;17777
SURATA;SANTANDER;68780
SUSA;CUNDINAMARCA;25779
SUSACON;BOYACA;15774
SUTAMARCHAN;BOYACA;15776
SUTATAUSA;CUNDINAMARCA;25781
SUTATENZA;BOYACA;15778
TABIO;CUNDINAMARCA;25785
TADO;CHOCO;27787
TALAIGUA NUEVO;BOLIVAR;13780
TAMALAMEQUE;CESAR;20787
TAMARA;CASANARE;85400
TAME;ARAUCA;81794
TAMESIS;ANTIOQUIA;5789
TAMINANGO;NARINO;52786
TANGUA;NARINO;52788
TARAIRA;VAUPES;97666
TARAPACA (Cor. Departamental);AMAZONAS;91798
TARAZA;ANTIOQUIA;5790
TARQUI;HUILA;41791
TARSO;ANTIOQUIA;5792
TASCO;BOYACA;15790
TAURAMENA;CASANARE;85410
TAUSA;CUNDINAMARCA;25793
TELLO;HUILA;41799
TENA;CUNDINAMARCA;25797
TENERIFE;MAGDALENA;47798
TENJO;CUNDINAMARCA;25799
TENZA;BOYACA;15798
TEORAMA;NORTE DE SANTANDER;54800
TERUEL;HUILA;41801
TESALIA;HUILA;41797
TIBACUY;CUNDINAMARCA;25805
TIBANA;BOYACA;15804
TIBASOSA;BOYACA;15806
TIBIRITA;CUNDINAMARCA;25807
TIBU;NORTE DE SANTANDER;54810
TIERRALTA;CORDOBA;23807
TIMANA;HUILA;41807
TIMBIO;CAUCA;19807
TIMBIQUI;CAUCA;19809
TINJACA;BOYACA;15808
TIPACOQUE;BOYACA;15810
TIQUISIO (Puerto Rico);BOLIVAR;13810
TITIRIBI;ANTIOQUIA;5809
TOCA;BOYACA;15814
TOCAIMA;CUNDINAMARCA;25815
TOCANCIPA;CUNDINAMARCA;25817
TOGUI;BOYACA;15816
TOLEDO_ANT;NORTE DE SANTANDER;54820
TOLEDO_NOR;ANTIOQUIA;5819
TOLU;SUCRE;70820
TOLUVIEJO;SUCRE;70823
TONA;SANTANDER;68820
TOPAGA;BOYACA;15820
TOPAIPI;CUNDINAMARCA;25823
TORIBIO;CAUCA;19821
TORO;VALLE DEL CAUCA;76823
TOTA;BOYACA;15822
TOTORO;CAUCA;19824
TRINIDAD;CASANARE;85430
TRUJILLO;VALLE DEL CAUCA;76828
TUBARA;ATLANTICO;8832
TUCHIN;CORDOBA;23815
TULUA;VALLE DEL CAUCA;76834
TUMACO;NARINO;52835
TUNJA;BOYACA;15001
TUNUNGUA;BOYACA;15832
TUQUERRES;NARINO;52838
TURBACO;BOLIVAR;13836
TURBANA;BOLIVAR;13838
TURBO;ANTIOQUIA;5837
TURMEQUE;BOYACA;15835
TUTA;BOYACA;15837
TUTAZA;BOYACA;15839
UBALA;CUNDINAMARCA;25839
UBAQUE;CUNDINAMARCA;25841
UBATE;CUNDINAMARCA;25843
ULLOA;VALLE DEL CAUCA;76845
UMBITA;BOYACA;15842
UNE;CUNDINAMARCA;25845
UNGUIA;CHOCO;27800
UNION PANAMERICANA (Animas);CHOCO;27810
URAMITA;ANTIOQUIA;5842
URIBE;META;50370
URIBIA;LA GUAJIRA;44847
URRAO;ANTIOQUIA;5847
URUMITA;LA GUAJIRA;44855
USIACURI;ATLANTICO;8849
UTICA;CUNDINAMARCA;25851
VALDIVIA;ANTIOQUIA;5854
VALENCIA;CORDOBA;23855
VALLE DE SAN JOSE;SANTANDER;68855
VALLE DE SAN JUAN;TOLIMA;73854
VALLE DEL GUAMUEZ (La Hormiga);PUTUMAYO;86865
VALLEDUPAR;CESAR;20001
VALPARAISO_ANT;ANTIOQUIA;5856
VALPARAISO_CAQ;CAQUETA;18860
VEGACHI;ANTIOQUIA;5858
VELEZ;SANTANDER;68861
VENADILLO;TOLIMA;73861
VENECIA_ANT;ANTIOQUIA;5861
VENECIA_CUN;CUNDINAMARCA;25506
VENTAQUEMADA;BOYACA;15861
VERGARA;CUNDINAMARCA;25862
VERSALLES;VALLE DEL CAUCA;76863
VETAS;SANTANDER;68867
VIANI;CUNDINAMARCA;25867
VICTORIA;CALDAS;17867
VIGIA DEL FUERTE;ANTIOQUIA;5873
VIJES;VALLE DEL CAUCA;76869
VILLA CARO;NORTE DE SANTANDER;54871
VILLA DE LEIVA;BOYACA;15407
VILLA DEL ROSARIO;NORTE DE SANTANDER;54874
VILLA RICA;CAUCA;19845
VILLAGARZON;PUTUMAYO;86885
VILLAGOMEZ;CUNDINAMARCA;25871
VILLAHERMOSA;TOLIMA;73870
VILLAMARIA;CALDAS;17873
VILLANUEVA;BOLIVAR;13873
VILLANUEVA_CAS;CASANARE;85440
VILLANUEVA_GUA;LA GUAJIRA;44874
VILLANUEVA_SAN;SANTANDER;68872
VILLAPINZON;CUNDINAMARCA;25873
VILLARRICA;TOLIMA;73873
VILLAVICENCIO;META;50001
VILLAVIEJA;HUILA;41872
VILLETA;CUNDINAMARCA;25875
VIOTA;CUNDINAMARCA;25878
VIRACACHA;BOYACA;15879
VISTAHERMOSA;META;50711
VITERBO;CALDAS;17877
YACOPI;CUNDINAMARCA;25885
YACUANQUER;NARINO;52885
YAGUARA;HUILA;41885
YALI;ANTIOQUIA;5885
YARUMAL;ANTIOQUIA;5887
YAVARATE (Cor. Departamental);VAUPES;97889
YOLOMBO;ANTIOQUIA;5890
YONDO (Casabe);ANTIOQUIA;5893
YOPAL;CASANARE;85001
YOTOCO;VALLE DEL CAUCA;76890
YUMBO;VALLE DEL CAUCA;76892
ZAMBRANO;BOLIVAR;13894
ZAPATOCA;SANTANDER;68895
ZAPAYAN (Punta de Piedras);MAGDALENA;47960
ZARAGOZA;ANTIOQUIA;5895
ZARZAL;VALLE DEL CAUCA;76895
ZETAQUIRA;BOYACA;15897
ZIPACON;CUNDINAMARCA;25898
ZIPAQUIRA;CUNDINAMARCA;25899
ZONA BANANERA (Prado Sevilla);MAGDALENA;47980
VENEZUELA - SIN ESPECIFICACIàN ADICIONAL DE LUGAR;Exterior;1850
BOGOTA USAQUEN-PASEO DE LOS LIBERTADORES;BOGOTA;11101
BOGOTA USAQUEN-LA URIBE;BOGOTA;11110
BELEN DE BAJIRA;CHOCO;27086
PERU - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01589
Bogota - San Cristobal-San Blas;BOGOTA;11132
Bogota - Ciudad Bolivar-Ismael Perdomo;BOGOTA;11169
BRASIL - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01105
ECUADOR - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01239
ESTADOS UNIDOS - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01249
PANAMA - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01580
ALEMANIA - SIN ESPECIFICACION ADICIONAL DE LUGAR;EXTERIOR;01276
Bogota - Usaquen-Santa Barbara;BOGOTA;11116
Bogota - Suba-Britalia;BOGOTA;11118
Bogota - Puente Aranda-San Rafael;BOGOTA;11143
Bogota - Kennedy-Kennedy Central;BOGOTA;11147
Bogota - Puente Aranda-Puente Aranda;BOGOTA;11211
BOGOTA - Sumapaz-Quiba - Parte Alta (Vereda);BOGOTA;11925
BOGOTA - Fontibon-Fontibon;BOGOTA;11175
BOGOTA - Engativa-Minuto de Dios;BOGOTA;11129
BOGOTA - Teusaquillo-La Esmeralda;BOGOTA;11206
BOGOTA Suba-Casa Blanca Suba;BOGOTA;11123
Bogot� - Antonio Narino-Restrepo;BOGOTA;11138
Procedencia desconocida; - Procedencia desconocida;00000